id,codigo,orden,idruta,regreso
669,25008002,12,14,1
670,25003102,13,14,1
671,25003202,14,14,1
672,25003302,15,14,1
673,25003402,16,14,1
674,25003502,17,14,1
675,25003602,18,14,1
676,25003702,19,14,1
677,25003802,20,14,1
678,25003902,21,14,1
680,25008202,26,14,0
681,25008202,1,14,0
682,25008402,2,14,0
683,25004002,22,14,1
684,25008302,23,14,1
685,25008202,24,14,1
687,25008202,1,16,0
688,25008402,2,16,0
689,25004002,21,16,1
690,25008302,22,16,1
691,25008202,23,16,1
693,25008202,1,17,0
694,25008402,2,17,0
695,25008302,17,17,1
696,25008202,18,17,1
712,23060069,5,21,0
713,23060089,14,21,1
785,23060070,6,21,0
788,23060090,15,21,1
887,23060071,7,21,0
888,23060091,16,21,1
1258,23060072,8,21,0
1301,25008502,26,14,1
1305,2500402 ,6,14,0
1307,25000402,6,16,0
1309,25003602,17,16,1
1310,25003802,19,16,1
1321,23060092,17,21,1
1414,23060074,10,21,0
1679,23060270,11,21,0
1692,23060093,18,21,1
1788,33060025,1,67,0
1790,33060072,3,67,0
1791,33060073,4,67,0
1792,33060078,5,67,0
1793,33060095,6,67,0
1794,33060096,7,67,0
1795,33060059,8,67,0
1796,33060060,9,67,0
1797,33060061,10,67,0
1798,33060062,11,67,0
1799,33060034,12,67,0
1800,33060035,13,67,0
1801,33060036,14,67,0
1803,33060038,16,67,0
1804,33060039,17,67,0
1805,33060040,18,67,0
1807,33060041,19,67,0
1809,33060043,1,67,1
1810,33060045,3,67,1
1811,33060046,4,67,1
1812,33060047,5,67,1
1813,33060048,6,67,1
1814,33060049,7,67,1
1815,33060091,8,67,1
1816,33060092,15,67,1
1817,33060093,10,67,1
1818,33060137,11,67,1
1819,33060024,12,67,1
1820,33060057,13,67,1
1821,33060081,14,67,1
1822,33060082,15,67,1
1823,33060083,16,67,1
1824,33060138,17,67,1
1825,33060055,18,67,1
2465,23060094,19,21,1
2636,23060076,12,21,0
3212,23060077,13,21,0
3658,23060078,14,21,0
3660,23060095,20,21,1
3782,23060079,15,21,0
3783,23060096,21,21,1
4300,23060080,16,21,0
4349,23060081,17,21,0
4350,23060097,22,21,1
4527,23060272,18,21,0
4533,23063999,23,21,1
4534,23060158,2,26,0
4535,23060069,7,26,0
4536,23060163,12,26,0
4537,23060168,17,26,0
4538,23060172,2,26,1
4539,23060177,7,26,1
4540,23060093,12,26,1
4541,23060095,16,26,1
4542,23063999,1,23,0
4543,23060069,5,23,0
4544,23060073,9,23,0
4545,23060077,13,23,0
4546,23060081,17,23,0
4547,23050001,21,23,0
4548,23050005,25,23,0
4549,23080098,1,23,1
4550,23050007,5,23,1
4551,23060038,9,23,1
4552,23060084,13,23,1
4553,23060271,17,23,1
4554,23060092,21,23,1
